Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
75,8,1.5,2256.408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,2.2,1598.134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2.2,1292.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,6,2,1537.128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,12,2.62,3327.336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88,8,1.91,1915.416,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,4,2.1,929.736,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.2,1723.608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,1.38,2981.016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,8,1.25,3569.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,6,1.58,1755.576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49,4,1.85,1105.294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,8,1.3,3178.152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.2,3460.536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
88,8,1.58,3942.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,16,1.5,3361.968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,8,1.23,3673.656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,8,1.37,3726.936,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,4,1.63,1923.408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.21,4339.656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.26,3726.909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.63,2887.776,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,8,2.16,3011.199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2,1502.496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.7,2978.352,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,6,2.1,1276.056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
